dataset_id,dataset_title,method_key,method,stage_dir,n,value
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,4,0.9540497187578664
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,5,0.9557329490477866
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,6,0.9555414037005506
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,7,0.9570290991409424
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,8,0.9582429449006248
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,9,0.9592157247149588
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,10,0.960151746590357
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,11,0.9603159769352716
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,12,0.9604963818565236
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,13,0.9612159253564152
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,14,0.9613345056395828
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,15,0.9616574141247786
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,16,0.960986663693149
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,0,0.7414091865172201
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,1,0.938174593751222
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,2,0.9516819581577228
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,3,0.9552410593749464
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,4,0.9565698623015432
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,5,0.9595063397848592
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,6,0.958844025783413
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,7,0.96011596295982
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,8,0.9610687323413784
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,9,0.9615849404977992
