dataset_id,dataset_title,method_key,method,stage_dir,n,value
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,7,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,8,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,9,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,10,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,12,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,14,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,16,0.7026614617356095
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,0,0.7026614617356095
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,1,0.8650972301064846
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,2,0.8722990793548459
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,3,0.8768166180763096
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,4,0.8789096618484211
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,5,0.8787892486161257
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,6,0.879421587660498
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,7,0.8800979181815065
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,8,0.879253404145621
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,9,0.8783544900078866
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,10,0.8778083866744677
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,11,0.8763675372977772
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,12,0.8745616895595826
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,13,0.8726860433763579
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,14,0.869724053610719
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,15,0.8674195947564338
harth,HARTH,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/harth/map_em_euclidean_centered,16,0.8611279531117302
harth,HARTH,oftta,"OFTTA
(baseline)",artifacts/datasets/harth/oftta_ce_backbone_edtn_d0p3_cap32,0,0.7026614617356095
harth,HARTH,oftta,"OFTTA
(baseline)",artifacts/datasets/harth/oftta_ce_backbone_edtn_d0p3_cap32,1,0.833282227474596
harth,HARTH,oftta,"OFTTA
(baseline)",artifacts/datasets/harth/oftta_ce_backbone_edtn_d0p3_cap32,2,0.8488767387771324
harth,HARTH,oftta,"OFTTA
(baseline)",artifacts/datasets/harth/oftta_ce_backbone_edtn_d0p3_cap32,3,0.8584480442098491
harth,HARTH,oftta,"OFTTA
(baseline)",artifacts/datasets/harth/oftta_ce_backbone_edtn_d0p3_cap32,4,0.8627900980928666
